Tue Jun 13 06:11:46 2023:Device1: Temp=37, Humid=20, lilum=148
Tue Jun 13 06:11:49 2023:Device1: Heartbeat=78, Steps=4839, Cal=2711
Tue Jun 13 06:11:49 2023:Device2: Heartbeat=78, Steps=4839, Cal=2711
Tue Jun 13 06:11:49 2023:Device1: Temp=9, Humid=67, lilum=96
Tue Jun 13 06:11:49 2023:Device2: Temp=9, Humid=67, lilum=96
Tue Jun 13 06:11:52 2023:Device1: Temp=23, Humid=5, lilum=85
Tue Jun 13 06:11:52 2023:Device2: Temp=23, Humid=5, lilum=85
Tue Jun 13 06:11:54 2023:Device1: Heartbeat=84, Steps=3683, Cal=2060
Tue Jun 13 06:11:54 2023:Device2: Heartbeat=84, Steps=3683, Cal=2060
Tue Jun 13 06:11:55 2023:Device1: Temp=34, Humid=15, lilum=131
Tue Jun 13 06:11:55 2023:Device2: Temp=34, Humid=15, lilum=131
Tue Jun 13 06:11:58 2023:Device1: Temp=11, Humid=11, lilum=121
Tue Jun 13 06:11:58 2023:Device2: Temp=11, Humid=11, lilum=121
Tue Jun 13 06:11:59 2023:Device1: Heartbeat=95, Steps=5853, Cal=3400
Tue Jun 13 06:11:59 2023:Device2: Heartbeat=95, Steps=5853, Cal=3400
Tue Jun 13 06:12:01 2023:Device1: Temp=3, Humid=44, lilum=129
Tue Jun 13 06:12:01 2023:Device2: Temp=3, Humid=44, lilum=129
Tue Jun 13 06:12:04 2023:Device1: Heartbeat=103, Steps=4673, Cal=3000
Tue Jun 13 06:12:04 2023:Device2: Heartbeat=103, Steps=4673, Cal=3000
Tue Jun 13 06:12:04 2023:Device1: Temp=32, Humid=89, lilum=143
Tue Jun 13 06:12:04 2023:Device2: Temp=32, Humid=89, lilum=143
Tue Jun 13 06:12:07 2023:Device1: Temp=2, Humid=8, lilum=70
Tue Jun 13 06:12:07 2023:Device2: Temp=2, Humid=8, lilum=70
Tue Jun 13 06:12:09 2023:Device1: Heartbeat=100, Steps=5743, Cal=1323
Tue Jun 13 06:12:09 2023:Device2: Heartbeat=100, Steps=5743, Cal=1323
Tue Jun 13 06:12:10 2023:Device1: Temp=14, Humid=70, lilum=136
Tue Jun 13 06:12:10 2023:Device2: Temp=14, Humid=70, lilum=136
Tue Jun 13 06:12:13 2023:Device1: Temp=5, Humid=5, lilum=105
Tue Jun 13 06:12:13 2023:Device2: Temp=5, Humid=5, lilum=105
Tue Jun 13 06:12:14 2023:Device1: Heartbeat=45, Steps=5776, Cal=1459
Tue Jun 13 06:12:14 2023:Device2: Heartbeat=45, Steps=5776, Cal=1459
Tue Jun 13 06:12:16 2023:Device1: Temp=13, Humid=59, lilum=134
Tue Jun 13 06:12:16 2023:Device2: Temp=13, Humid=59, lilum=134
Tue Jun 13 06:12:19 2023:Device1: Heartbeat=116, Steps=5982, Cal=1947
Tue Jun 13 06:12:19 2023:Device2: Heartbeat=116, Steps=5982, Cal=1947
Tue Jun 13 06:12:19 2023:Device1: Temp=20, Humid=80, lilum=107
Tue Jun 13 06:12:19 2023:Device2: Temp=20, Humid=80, lilum=107
Tue Jun 13 06:12:22 2023:Device1: Temp=14, Humid=90, lilum=137
Tue Jun 13 06:12:22 2023:Device2: Temp=14, Humid=90, lilum=137
Tue Jun 13 06:12:24 2023:Device1: Heartbeat=66, Steps=2442, Cal=3256
Tue Jun 13 06:12:24 2023:Device2: Heartbeat=66, Steps=2442, Cal=3256
